# Nome|Descrição|bootarg

Juggler|Raytracer clássico Amiga — esferas reflectivas|juggler
Sprite Bouncer|Demo de sprite com bounce|sprite_bouncer
Raster Bars|Barras de cor sincronizadas com raster|rasterbars
Starfield|Campo de estrelas 3D em perspectiva|starfield
Plasma|Efeito plasma com tabela de senos|plasma
Flame|Simulação de fogo procedural|flame
Tunnel|Túnel com textura e interpolação 8x8|tunnel
Parallax|Scroll parallax com textura auto-modificável|parallax
Gradient|Gradiente de cores com retângulos|gradient
Test Pattern|Grade de cores para calibração|testpattern
SMPTE|Tela de teste broadcast SMPTE|smpte
